中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
入关报捷申奥成功足球出线元首聚华虎步龙骧新世纪,植树治沙退田还草西气东输南源北调天蓝海碧好河山
好鸟鸣春歌盛世,吉羊启运乐升平
辞旧灵鸡歌日丽,迎新瑞犬报年丰
春光好春意浓春华秋实,民族兴民心顺民富国强
四海升平大地新,九州喜庆庆新春
万象更新新世纪,百花吐艳艳春光
万里江山重见尧天舜月,九州草木共裕时雨春风
青松白雪连天秀,绿树红楼遍地新
金鸡唤出扶桑日,锦犬迎来大地春
春风乍暖新宅第,幸福常临勤俭家
和平和睦和谐世界和为贵,爱美爱真爱善人间爱亦多
锦绣山河山锦绣,辉煌业绩业辉煌
年丰人寿千家乐,燕舞莺歌万里春
梅红塞北满天彩,柳绿江南遍地春
春酒绿彩灯红围炉共话长征路,玉梅开瑞雪舞把盏齐歌大有年
春到处乾坤锦绣,运来时门第生辉
发展多种经营财源茂盛,大高科学种田五谷丰登
历史新开长征路,山河重绘富强图
室内声屏观世界,楼前竹柏写人生
特区开放天涯景醉天下客,琼岛文明海角人歌海南春
春风有意苏千卉,好雨知时润百花
啸一声惊天动地,睁双眼照耀乾坤
庆新春更念手足兄弟,辞旧岁倍思骨肉同胞
万物争荣逢澍雨,九州鼎盛仰廉风
和风煦煦苏千里,丽日融融暖百乡
碧天瑞霭千门晓,玉槛春香九陌晴
春风吹来春气象,好曲奏出好风光
改革新潮催骏马,振兴大业起宏图
专业户越搞越富,责任田愈种愈甜
爆竹辞旧,桃符迎新
春露含嫣泛紫气,鲜花吐馨迎朝阳
和谐幸福家家暖,神州吉祥处处春
小康景乐逢盛世,大富民欢度阳春
千家富裕民安泰,百业兴隆国盛昌
碧水绕华堂春光无限,黄莺鸣大地捷报频传
只缘树老根弥壮,为有阳骄枝更荣
和谐社会乾坤锦绣,富庶神州日月辉煌
山清水秀春光美,日丽风和气象新
春回西部花烂漫,路畅高原业辉煌
紅杏枝头春意满,农家院立笑声稠
两年半夜分新旧,万众齐欢接亥春
华夏千秋新气象,和谐二字大文章
虎奋千年古国,龙腾四化鹏程
彩笔如花写就辉煌事业,春风似剪裁成锦绣江山
溪水鸣琴韵,春阳照华年
天开美景春光好,人庆丰年节气和
和睦团结天下暖,谐调友爱世间欢
豪情耻落他人后,壮志敢为天下先
鳷观翔云九译同文朝玉陛,凤楼焕彩八方从律度瑶阊
天上垂衣明藻火,日边珥笔颂星云
四海人同新岁新春新世纪,千秋福祝大家大业大中华
金猴举棒驱走千年旧俗,雄鸡报春迎来一代新风
青松翠柏迎春至,白雪红梅送福来
春风春雨春日丽,新岁新人新事多
千古江山增秀色春光无限,万家人面映桃花淑气有缘
春风终解千秋雪,海水常萦万众心
八骏嘶风传捷报,五羊跳跃展新图
绽蕾梅花迎岁早,抽枝杨柳报春先
花迎喜气,鸟唱春光
小康生活家家乐,平静安居处处新
红叶满林花著雨,翠光摇户柳含烟
春风化雨花千树,政策归心福万家
福同时共彩,人并物皆春
书声朗朗校园萦瑞彩,笑脸盈盈文苑出新人
春风杨柳添新意,祖国山河改旧观
十五绘新图喜见山河添异彩,百年开首步要教春风度玉门
三阳开泰千门喜,九域增辉四海春
神州常溢彩,大地永流金
绿柳枝头紫燕呢喃歌改革,红桃树下黄莺宛转话腾飞
江山增秀色,大地换新装
人财两旺福禄寿,宝地祥光富贵春
送虎岁盈盈硕果山村景,迎兔年丽丽宏图祖国春
鹏翥海天高两翼千寻争翘首,骥驰云路远一鞭万里奋扬蹄
景丽瑶墀鸾鹤翔空腾庆霭,春回琼岛鱼龙献瑞展新图
狗岁已赢十段锦,猪年更上一层楼
春满山川莺燕舞,国迎世纪虎龙腾
彩龙起舞迎春到,金凤腾飞报喜来
党政扶贫春万里,乡村减负福千家
福满神州铺富路,喜盈大地步新程
岁首春到户,牛年福满门
九州大地处处莺歌燕舞,四化征途年年虎跃龙腾
民安国泰千家福,政善人和万事兴
社会和谐白雪红梅啼喜鹊,家居优美青山碧水沐春风
施德政顺民心春回大地千家暖,倡文明除陋习光照人间万象新
汗珠滴绿三春圃,心血浇红万朵花
官居东壁图书府,家住西湖山水间
彩凤高翔恋我中华春不老,金鸡喜唱歌斯盛世乐无穷
滚滚乌金出煤海,皑皑白雪映矿山
莫谓田家无宝贝,须知农业是根基
阳光普照身心暖,信息频来事业兴
大治奔小康尧邦焕彩,芳春连稔岁椒酒呈酣
春风和阳人财旺,瑞气盈门福寿长
三讲弘扬三代表,两思建设两文明
肝胆相照广开言路商国是,荣辱与共各献神通建中华
山欢水笑,物阜民康
走万紫千红特色路,发一清二白正经财
人人歌盛世,户户庆丰年
天赐予一门吉庆,春送来两字平安
国富民强世盛,天时地利人和
朝爽启神霄蓂滋左砌,青阳升丽景芝秀东房
五湖春色浮天地,千岱青岚入画图
虎步奔腾开胜景,春风浩荡展鸿图
文明新世纪,改革大文章
花承朝露千枝发,莺感春风百啭鸣
东风化雨山山翠,政策归心处处春
漫天白雪兆丰岁,遍地红梅报新春
勤劳致富小康在望,廉政爱民大治有成
明月多情光两岸,春风得意畅三通
梅花有识迎春早,柳絮无心报节迟
五羊城中春光好,九州域内人面新
江山多娇十二亿炎黄子孙织锦绣,祖国昌盛二十度改革春风著华章
春风惠我花千树,美景怡人喜万家
勤俭持家能致富,辛劳创业好脱贫
红旗引路前程远,笑脸迎春世纪新
金猪献瑞吉祥岁,玉燕裁新秀丽春
神州春不老,大地年又新
业创勤劳勤创业,家兴俭朴俭兴家
大地春光皆锦绣,满庭花气渐氤氲
英雄跨马扬长去,龙女牧羊载福来
世上尘埃随马尽,人间春色逐羊来
江山千古秀,花木四时新
杨柳春风第,芝兰玉树阶
丰收美酒歌时世,盛意春联颂太平
固本兴邦唯教育,开来继往赖人才
小龙游罢清平世,骏马腾欢大有年
天开清淑景,人乐庆和年
替国增光修大厦,为人造福建高楼
山青水秀,地利人和
花发阶前春色俏,柳临江上惠风和
四化喜开国运,千方共庆家祥
大聚能人同治国,广罗贤士共兴华
燕舞晴空添画意,莺啼翠柳壮诗情
太平有象人同乐,天地无私物自春
江山千古秀,日月一时新
除旧岁破旧俗,迎新年树新风
风展红旗如画,春来众志成城
除夕门首张灯彩,元旦街头品对联
金鸡争唱晓,玉兔喜迎春
九重春色新承泽,一郭秋官旧读书
九州春日丽,七月彩云归
协气东来禹甸琛球咸辑瑞,和风南被尧阶蓂荚早迎春
春风大雅能容物,梧叶飞天贺有秋
天增岁月人增寿,春满人间福满门
爆竹欣祝福,银蛇喜迎春
说什么新年旧岁,还不定昨日今朝
昂昂春意催梅蕊,滚滚财源到我家
紫燕衔泥千户富,黄莺剪柳万家春
三月春光醇似酒,一犁好雨贵如金
三代伟人开盛世,九州大地庆长春
白雪银枝辞旧岁,和风细雨兆丰年
新蒲细柳皆春色,紫燕黄莺俱妙音
辛勤补拙常自得,未卜先知兴味多
廉风清大地,正气振中华
柳摇天暖风增秀,春早梅开雪有香
邀月君携酒,迎春我写诗
神州万里春风,盛世千秋伟业
国泰民安三元呈吉象,人和政善九域绕祥云
鸡鸣喜报丰收果,犬吠欣迎富贵宾
赏梅知腊尽,饮酒待春归
太平世事春无限,勤俭人家富有余
富贵财源从地起,平安五福自天来
玉户临风迎兔入,高楼揽月接春来
婚育新风美,计生富路宽
炊烟袅袅新春乐,酒盏盈盈古堡香
春风春雨春光好,富乡富水富贵多
雄鸡唱罢九州乐,金犬吠来四海安
满门增瑞霭,阖家建文明
马腾改革路,国展富强图
兴邦强国策,济世富民图
绿意随春妙,豪情逐浪高
彩灯玉树千家同享新春美景,绿酒金樽万户共渡佳节良宵
和谐无价宝,安泰有基根
百族乐团圆四方欢聚和风暖,九州同喜庆万里高歌盛事多
中华经济一枝独秀,西部辽原万马争雄
盛世安居歌国泰,新春乐业颂民安
诗书门第,陶淑人家
红旗招展九州画,骏马奔腾万里春
政策归心人振奋,春风得意马腾飞
天开淑景雪飘节,人庆丰年梅闹春
喜看神州除旧弊,欢呼华夏树新风
盛世拂春风芳草绣堤迎紫气,华年歌善政琼楼锦市展繁荣
闯学海沙里淘金求真理,攀书山若中寻乐作文章
猴去鸡来胜利年,莺歌燕舞腾飞岁
戌岁兴家劳玉犬,亥年致富有金豕
五讲四美新风遍华夏,万紫千红美景展神州
和风剪柳千丝绿,瑞雪妆梅万点红
人崇三代表颗颗红心朝北斗,世仰五星旗滔滔春水向东方
且把桃符纪盛世,常将竹叶报平安
青松翠竹万里山河春常在,柳绿花红神州大地尽朝晖
河清海晏,人寿年丰
鸟去鸟来山色里,人歌人笑水声中
雪爱梅花人爱雪,春回大地我回春
国运昌隆百姓乐,家庭富裕子孙贤
人在征途阔步走,心向远景展翅飞
千条绿柳迎春舞,满树红梅带雪开
春意千家飞紫燕,晓音万里听金鸡
虎慢归山因贪人间好春色,兔急下界为览世上新画图
钱财纵富何如德,技艺虽微实有功
水绿山青荣秀色,莺歌燕舞壮祥程
日历日翻财源随日进,春花春发好运与春来
春风入户堂溢瑞,紫燕飞梁室臻祥
华夏新春逢大治,人民健步奔小康
立志当怀虎胆,求知莫畏羊肠
今日得宽余权借琴棋娱晚景,壮心犹未已但将诗画写情怀
多难兴邦唯有民生难解决,同仇抗日纵亡种族莫投降
瑞雪迎春情深京路歌素丽,轻风送暖绿满西园赞秀奇
为胜利而来共聚京城画卷纷呈新奥运,让辉煌再造频惊世界人文蔚起大中华
春风吹大地,淑气满人间
情山花香舞鸾凤,爱河水甜喜鸳鸯
九州花似锦,十亿面皆春
和诸子邻居一脉同心相处睦,谐亲朋好友八方共谱俱言欢
富裕村中盈瑞气,文明院内满春风
梅花飘香雪,杨柳荡轻烟
雪兆丰年且喜丰年逢瑞雪,灯辉佳节每临佳节赏华灯
开放春风舒大地,腾飞华夏震全球
白雪纷飞梅吐艳,红霞绮丽岁争荣
花知春至枝萌蕊,人报党恩心献红
红梅傲雪暖千树,翠柏耐寒春万年
春草连天绿,羊群动地欢
春景重临增幸福,世风好转振文明
九野春风梳翠柳,三阳瑞气吻红梅
才听骏马踏花去,又见金羊献瑞来
电波银线传情意,鸿雁绿衣报好音
秋风古道题诗瘦,落日平原似马豪
万里和风吹柳绿,九州春色映桃红
快马加鞭振兴祖国,闻鸡起舞建设家园
家随国运年年好,财似江涛日日翻
春天点点芭蕉雨,马步声声杨柳风
生意无边奏曲文禽谐玉管,真机可挹交枝仙萼拥金铃
福禄寿三星共照,天地人一体同春
满面春风喜迎宾至,四时生意全在人为
富国强身人益寿,兴家创业福临门
辞旧岁破除旧俗,迎新春树立新风
举红旗旗开得胜万马千军创大业,乘骏马马到成功五湖四海涌春潮
重教兴科强国计,扫黄打假利民生
东风荡荡吹喜讯,南雁迢迢寄捷音
曙光普照康庄道,玉笛频吹胜利歌
淑气临门早,春风及第先
祖国长天皆丽日,神州大地总春风
迎崭新世纪苍龙日暮还行雨,度欢乐晚年老树春深更著花
岁岁春光好,家家富路通
胸中有法乾坤大,心底无私天地宽
家家门前飞笑语,户户室内荡春歌
大厦落成到处欢天喜地,福人迁入满堂金碧辉煌
九州霞蔚金瓯固,四海风和玉宇清
春风已著花千树,丽日频添果万株
年年大吉,岁岁有余
云涌吉祥风吹和顺,花开如意竹报平安
恭贺新春发财致富开新路,欢辞旧岁反腐倡廉革旧章
百顺为福,六合同春
芳草先知喜报春归大地,梅花初吐欣观绿投满山
国有鸿恩春日永,家传仁德福星明
柳绿花红共道人间春色美,龙腾虎跃喜看华夏画图新
春风送暖花盈户,科技兴农福满门
冲天大厦山河秀,拔地华堂景色新
庆新春载歌载舞,搞建设克俭克勤
春回大地百花争艳,日照神州万象更新
富态金猪添喜庆,忠心玉犬保平安
红梅献岁千丛锦,绿柳迎春万户新
普天共庆辉煌业,举国同欢锦绣春
八音响彻八方八方致富,七色光临七曜七曜增辉
总结经验事事应当看实践,吸取教训时时需要戒空谈
清廉门第春常在,勤俭人家富有余
浓墨映影描得山川秀色,巨毫生辉写就时代华章
山笑水笑人人笑谈政策好,天欢地欢家家欢颂生活甜
日暖阳春曜宝座,风和淑气霭衡门
春晖盈大地,正气满乾坤
北斗导航开富路,东风舞彩布芳春
东来紫气西来福,南进祥光北进财
春回大地千山竞秀,日暖神州万木争荣
中华向日天天乐,大地逢春处处新
丰收锣鼓震天响,改革潮流逐浪高
三阳开泰运,四季保平安
岁寒青竹瘦,春暖白梅香
金杯醉酒乾坤大,玉兔迎春岁月新
青春光日月,赤帜映乾坤
得意春风梳柳绿,有情夜雨润花红
红梅吐蕊迎春节,喜鹊登枝唱丰年
绿野苍茫驰骏马,蓝天浩翰搏雄鹰
国风大雅舒民意,气象维新壮岁时
岁序轮回恰看新年春作画,河山挂绿正当斯景酒陪歌
中华入世贸全球同发展,港澳回母怀举国共欢呼
日耀神州张正气,春催赤子展宏图
金梭织就千重锦,巧手绣成万朵花
犹思骏马奔腾急,更赞矫羊奋发先
扶正祛邪兴国运,鼎新革旧固邦基
科技兴农开富路,勤劳创业接财神
马逢伯乐驰千里,鹏过高天展万程
草绿春新牧笛横牛背,花红昼永莺歌绕农家
安全开采春光谱,信义经营矿业兴
江山如画千里秀,祖国多娇万年春
三春添锦绣,四化展经纶
春风送暖冰消雪化,细雨传情叶笑花红
助残有志施仁爱,造福无私谱锦章
十里荷塘澄月色,一堤柳浪荡春风
春风吹绿门前树,明灯映红窗上花
人关业就精神振,申奥功成华夏荣
湖水碧绿尾尾鱼群待撒网,春光明媚匹匹骏马好腾蹄
国盛龙腾今朝终能纵世,春柔马到他日必定成功
雄心共揽九天月,壮志齐攻四化关
聊将柏叶簪新岁,且与梅花叙隔年
春催大地百花放,人沐朝阳万姓欢
跃马扬鞭芳草地,闻鸡起舞杏花天
诗书门第,礼义人家
马驰碧野凯歌壮,羊跃青山景色新
猪肥膘厚财恒足,家富人勤寿永康
新楼拔地层层起,喜报接天日日来
大地欢腾春回有意,前程灿烂福来无疆
十亿同心鹏展翅,九州昂首鹤冲天
好在五洲多极化,早该两岸一家春
百花开锦绣,万马起云烟
玉树暖迎沧海日,珠花光动锦城春
电闪金光夸五色,雷鸣巨吼动千山
火树银花平添古镇繁华景象,金堂玉宇铸就新街盛世时年
红梅报新春,瑞雪兆丰年
荣华富贵盈门喜,福寿康宁满户春
兴邦多壮志,盛世足风流
花开富贵家家乐,灯照吉祥岁岁欢
蓝盾红徽正义剑,清风皓月赤诚心
平安即是家门福,孝友可为子弟风
江山多俊秀,江山开胜景
丰衣足食千家乐,丽日和风百花娇
雨顺风调年丰物阜,政廉策善世盛业新
春临大地,喜到人间
福如东海年年盛,寿比南山日日高
四海春风洽,九州岁历长
欣铺锦绣春风里,乐展和谐画卷中
芳气催人人老雄心大,春光入户户新幸福多
康泰一家生百福,祥和二字重千金
春风苏万物,细雨绿千山
春动生机龙启蛰,物宜时令鸟催耕
彩云捧旭日,朝霞染红梅
奉公守法人民敬,惩腐兴廉事业昌
勤俭自古为美誉,节约自今是佳称
港澳回归圆夙梦,中华崛起展宏图
往昔穷山坳,如今富人家
万事如意,五谷丰登
爆竹声声催腊尽,梅花朵朵报春来
一角傲藏春富贵,四蹄轻快路康庄
笑则迎春喜则入世调整规章振兴华夏经济,法以治国德以为民保持廉洁弘扬公仆精神
爆竹飞花四海升平歌富有,金风献瑞九州安定纳祯祥
千家畅饮丰收酒,百族高吟改革诗
辛苦创大业,未来展宏图
无边春色来天地,有志金龙越古今
